crs_id,project_number,year,aid_type,flow_name,donor_name,recipient_name,usd_commitment_deflated,usd_disbursement_deflated,purpose_name,project_title,short_description,long_description,gender,relevance,check,inclusion,employment
2012013466,76_40198,2012,B03,ODA Grants,United States,"Bilateral, unspecified",0.228721,,Basic nutrition,World Health Organization Consolidated Grant - Nutrition,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - NUTRITION,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013463,76_40198,2012,B03,ODA Grants,United States,"Bilateral, unspecified",7.47792,6.55998,STD control including HIV/AIDS,World Health Organization Consolidated Grant - HIV/AIDS,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - HIV/AIDS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013464,76_40198,2012,B03,ODA Grants,United States,"Bilateral, unspecified",2.51474,0.091173,Malaria control,World Health Organization Consolidated Grant - Malaria,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - MALARIA,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013465,76_40198,2012,B03,ODA Grants,United States,"Bilateral, unspecified",4.45319,2.13831,Reproductive health care,World Health Organization Consolidated Grant - Maternal and Child Health,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - MATERNAL AND CHILD HEALTH,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013467,76_40198,2012,B03,ODA Grants,United States,"Bilateral, unspecified",4.31558,1.68679,Basic health care,World Health Organization Consolidated Grant - Other Public Health Threats,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - OTHER PUBLIC HEALTH THREATS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013468,76_40198,2012,B03,ODA Grants,United States,"Bilateral, unspecified",8.44827,12.6798,Infectious disease control,World Health Organization Consolidated Grant - Pandemic Influenza and Other Emerging Threats (PIOET),WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - PANDEMIC INFLUENZA AND OTHER EMERGING THREATS (PIOET),"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013469,76_40198,2012,B03,ODA Grants,United States,"Bilateral, unspecified",0.94228,0.648175,Social Protection,World Health Organization Consolidated Grant - Social Services,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - SOCIAL SERVICES,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013470,76_40198,2012,B03,ODA Grants,United States,"Bilateral, unspecified",6.97345,4.48856,Tuberculosis control,World Health Organization Consolidated Grant - Tuberculosis,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - TUBERCULOSIS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013471,76_40198,2012,B03,ODA Grants,United States,Ethiopia,1.5516,,STD control including HIV/AIDS,World Health Organization Consolidated Grant - HIV/AIDS,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - HIV/AIDS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013472,76_40198,2012,B03,ODA Grants,United States,"Far East Asia, regional",2.73649,,Malaria control,World Health Organization Consolidated Grant - Malaria,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - MALARIA,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012013475,76_40198,2012,B03,ODA Grants,United States,India,4.31793,5.00288,Tuberculosis control,World Health Organization Consolidated Grant - Tuberculosis,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - TUBERCULOSIS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2012018186,76_44296,2012,C01,ODA Grants,United States,South Africa,0.489318,,STD control including HIV/AIDS,INROADS: Innovations Research on HIV/AIDS - HIV/AIDS,INROADS: INNOVATIONS RESEARCH ON HIV/AIDS - HIV/AIDS,"The purpose of INROADS is to promote innovation to improve patient outcomes in support of the NSP. The framework for INROADS is based on NSP Strategic Objective 3, which aims to reduce deaths and disability from HIV and TB through universal access to diagnosis, care, and treatment. By using the NSP as a guide for identifying priority activities, this framework ensures that program results will be relevant and useful to the GoSA, as well as to PEPFAR and other stakeholders. The INROADS framework identifies five technical focus areas for data analysis, program evaluation, cost-effectiveness analysis, policy recommendations, and capacity strengthening..",No gender component,None,potential false negative,Not inclusion,Not employment
